id;cycle;s1;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s2;s20;s21;s3;s4;s5;s6;s7;s8;s9;setting1;setting2; Brake
Engine_100;11;518,67;1,3;47,46;522,23;2388,02;8146,18;8,3973;0,03;393;2388;100;642,38;39,04;23,4191;1587,75;1403,69;14,62;21,61;553,43;2388,02;9062,92;-0,0011;-0,0005;0
Engine_100;12;518,67;1,3;47,43;521,76;2388,07;8142;8,3963;0,03;393;2388;100;642,82;38,78;23,3514;1584,34;1406,55;14,62;21,61;553,81;2388,07;9066,16;-0,0032;0,0004;0
Engine_100;13;518,67;1,3;47,52;521,62;2388,06;8145,4;8,4317;0,03;392;2388;100;642,39;39,02;23,3646;1587,66;1397;14,62;21,61;553,63;2388,01;9067,1;0,0004;-0,0005;0
Engine_100;14;518,67;1,3;47,48;522,16;2388,08;8137,55;8,4267;0,03;391;2388;100;642,2;38,94;23,3218;1591,53;1404,71;14,62;21,61;553,2;2388,08;9065,8;0,0037;0,0004;0
Engine_100;15;518,67;1,3;47,45;522,12;2388,1;8146,1;8,427;0,03;392;2388;100;642,89;38,83;23,3122;1584,27;1406,16;14,62;21,61;553,92;2388,08;9065,53;-0,0011;-0,0001;0
Engine_100;16;518,67;1,3;47,39;521,61;2388,09;8137,47;8,4239;0,03;394;2388;100;641,85;38,93;23,375;1585,17;1402,02;14,62;21,61;554,67;2388,1;9058,6;-0,0001;0,0003;0
Engine_100;17;518,67;1,3;47,17;521,68;2388,05;8143,76;8,4283;0,03;392;2388;100;641,93;38,89;23,2414;1589,53;1402,42;14,62;21,61;554,03;2388,04;9062,5;0,0023;0,0003;0
Engine_100;18;518,67;1,3;47,4;521,91;2388,04;8143,96;8,3894;0,03;394;2388;100;642,68;38,91;23,3639;1587,3;1401,1;14,62;21,61;554,24;2388,02;9068,87;-0,0033;-0,0005;0
Engine_100;19;518,67;1,3;47,36;522,04;2388,07;8144,05;8,4547;0,03;393;2388;100;641,76;38,89;23,4532;1584,41;1401,32;14,62;21,61;553,6;2388,08;9064,41;0,0015;0;0
Engine_100;20;518,67;1,3;47,44;521,61;2388,09;8141,29;8,4159;0,03;392;2388;100;642,25;38,84;23,3421;1589,1;1403,74;14,62;21,61;553,46;2388,06;9065,2;-0,0009;0;0
Engine_100;21;518,67;1,3;47,4;522,01;2388,04;8143,53;8,403;0,03;393;2388;100;643,12;38,81;23,4146;1592,96;1400,04;14,62;21,61;554,4;2388,07;9060,51;0;-0,0005;0
Engine_100;22;518,67;1,3;47,36;521,84;2388,1;8146,07;8,4204;0,03;393;2388;100;641,97;39,02;23,3341;1584,66;1408,27;14,62;21,61;553,85;2388,07;9069,04;-0,0019;0;0
Engine_100;23;518,67;1,3;47,28;521,65;2388,09;8139,37;8,4358;0,03;392;2388;100;642,36;38,8;23,3439;1585,63;1408,06;14,62;21,61;553,77;2388,07;9058,47;-0,0002;0,0001;0
Engine_100;24;518,67;1,3;47,4;521,91;2388,06;8141,12;8,443;0,03;390;2388;100;642,39;38,94;23,2103;1582,67;1399,26;14,62;21,61;554,22;2388,06;9046,8;0,0017;-0,0001;0
Engine_100;25;518,67;1,3;47,24;521,69;2388,08;8135,5;8,4473;0,03;391;2388;100;642,8;38,83;23,3884;1591,79;1404,26;14,62;21,61;553,44;2388,07;9054,88;0,0019;-0,0005;0
Engine_100;26;518,67;1,3;47,51;522,19;2388,07;8138,24;8,4029;0,03;390;2388;100;642,37;38,71;23,3509;1593,05;1409,27;14,62;21,61;553,96;2388,12;9057,56;-0,0003;0;0
Engine_100;27;518,67;1,3;47,36;521,84;2388,11;8140,89;8,4242;0,03;392;2388;100;642,5;38,92;23,3996;1587,63;1405,48;14,62;21,61;553,96;2388,06;9060,08;0,0002;0,0003;0
Engine_100;28;518,67;1,3;47,25;521,56;2388,07;8144,37;8,4474;0,03;394;2388;100;642,5;38,81;23,3865;1586,03;1404,55;14,62;21,61;554,32;2388,1;9058,6;0;0,0003;0
Engine_100;29;518,67;1,3;47,33;521,48;2388,01;8142,37;8,4258;0,03;393;2388;100;642,64;38,83;23,3288;1587,14;1410,27;14,62;21,61;552,83;2388,04;9051,46;0,0019;0,0001;0
Engine_100;30;518,67;1,3;47,37;521,57;2388,03;8141,65;8,4058;0,03;392;2388;100;642,4;38,88;23,3513;1586,59;1398,54;14,62;21,61;554,08;2388,08;9061,48;-0,0009;-0,0003;0
Engine_100;31;518,67;1,3;47,32;521,48;2388,11;8144,22;8,4134;0,03;394;2388;100;642,49;38,9;23,4513;1589,08;1402,83;14,62;21,61;552,97;2388,02;9065,03;-0,0002;-0,0003;0
Engine_100;32;518,67;1,3;47,38;521,56;2388,05;8143,26;8,4457;0,03;392;2388;100;642,83;38,84;23,3812;1591,57;1402,16;14,62;21,61;554,13;2388,07;9061,1;0,0014;0,0003;0
Engine_100;33;518,67;1,3;47,4;521,99;2388,08;8139,83;8,4507;0,03;392;2388;100;642,08;38,83;23,3339;1586,01;1400,43;14,62;21,61;553,56;2388,07;9059,64;-0,0029;0,0003;0
Engine_100;34;518,67;1,3;47,33;521,94;2388,08;8141,62;8,4589;0,03;393;2388;100;642,68;38,99;23,4216;1584,24;1403,31;14,62;21,61;553,35;2388,06;9061,18;-0,0035;-0,0004;0
Engine_100;35;518,67;1,3;47,28;521,46;2388,06;8139,44;8,4023;0,03;393;2388;100;642,34;38,88;23,3595;1588,33;1408,75;14,62;21,61;553,57;2388,02;9060,37;0,0003;0,0001;0
Engine_100;36;518,67;1,3;47,44;521,84;2388,03;8142,51;8,447;0,03;393;2388;100;642,1;38,93;23,4056;1589,13;1404,27;14,62;21,61;552,88;2388,16;9057,48;-0,0019;0,0003;0
Engine_100;37;518,67;1,3;47,4;521,76;2388,08;8145,12;8,4212;0,03;393;2388;100;642,35;38,96;23,3381;1584,41;1402,96;14,62;21,61;552,92;2388,09;9061,4;-0,0018;-0,0005;0
Engine_100;38;518,67;1,3;47,4;521,82;2388,09;8142,76;8,4515;0,03;393;2388;100;642,09;38,81;23,3758;1591;1397,88;14,62;21,61;553,7;2388,03;9059,62;-0,0033;-0,0003;0
Engine_100;39;518,67;1,3;47,51;521,72;2388,09;8147,27;8,4308;0,03;394;2388;100;641,96;38,91;23,3452;1584,63;1410,99;14,62;21,61;553,62;2388,04;9063,22;0,0021;0,0004;0
Engine_100;40;518,67;1,3;47,5;522,24;2388,04;8143,32;8,4446;0,03;392;2388;100;642,55;39,05;23,3823;1586,92;1409,9;14,62;21,61;553,36;2388,07;9066,42;-0,0007;0,0002;0
Engine_100;41;518,67;1,3;47,39;521,99;2388,1;8144,18;8,4582;0,03;392;2388;100;642,52;39,09;23,4122;1590,51;1396;14,62;21,61;553,94;2388,04;9063,69;0,001;0,0001;0
Engine_100;42;518,67;1,3;47,43;521,73;2388,08;8138,65;8,4419;0,03;392;2388;100;641,65;39,1;23,3482;1593;1406,24;14,62;21,61;553,89;2388,06;9054,22;-0,0018;-0,0005;0
Engine_100;43;518,67;1,3;47,38;521,77;2388,02;8144,75;8,4069;0,03;392;2388;100;642,8;38,79;23,3366;1587,73;1397,11;14,62;21,61;552,69;2388,05;9058,7;-0,0051;-0,0005;0
Engine_100;44;518,67;1,3;47,43;522,11;2388,06;8138,12;8,4225;0,03;393;2388;100;642,34;38,99;23,3048;1593,33;1399,12;14,62;21,61;553,79;2388,1;9058,39;0,0012;-0,0002;0
Engine_100;45;518,67;1,3;47,45;521,59;2388,09;8143,03;8,4261;0,03;394;2388;100;642,11;38,93;23,3881;1595,56;1403,01;14,62;21,61;553,38;2388,13;9066,29;0,0006;-0,0004;0
Engine_100;46;518,67;1,3;47,4;522,11;2388,1;8143,25;8,4179;0,03;392;2388;100;641,89;39;23,3354;1590,41;1407,74;14,62;21,61;553,46;2388,03;9060,94;0,0006;0,0002;0
Engine_100;47;518,67;1,3;47,33;522,27;2388,01;8140,73;8,4014;0,03;393;2388;100;642,4;38,95;23,4195;1589,47;1400,46;14,62;21,61;553,56;2388,07;9064,08;0,0049;-0,0003;0
Engine_100;48;518,67;1,3;47,43;521,79;2388,08;8140,01;8,465;0,03;394;2388;100;642,22;38,9;23,26;1593,61;1407,74;14,62;21,61;554,66;2388;9057,82;-0,0008;0,0003;0
Engine_100;49;518,67;1,3;47,12;522,14;2388,07;8144,3;8,384;0,03;393;2388;100;642,71;38,88;23,405;1587,37;1407,65;14,62;21,61;554,22;2388,07;9063,27;0,0018;0,0001;0
Engine_100;50;518,67;1,3;47,31;521,64;2388,05;8141,99;8,4159;0,03;394;2388;100;642,47;38,88;23,3556;1584,2;1403,28;14,62;21,61;553,53;2388,07;9063,38;0,0005;0,0004;0
Engine_100;51;518,67;1,3;47,42;521,86;2388,06;8140;8,4078;0,03;393;2388;100;642,61;39;23,2991;1586,94;1411,15;14,62;21,61;553,46;2388,06;9063,29;0,0004;0,0001;0
Engine_100;52;518,67;1,3;47,34;521,73;2388,06;8142,66;8,3916;0,03;393;2388;100;642,89;38,89;23,3739;1588,31;1404,65;14,62;21,61;553,95;2388,06;9058,2;0,0025;-0,0004;0
Engine_100;53;518,67;1,3;47,48;521,82;2388,01;8146,28;8,4381;0,03;394;2388;100;642,46;38,89;23,2749;1587,91;1400,06;14,62;21,61;553;2388,06;9062,4;0,0038;0,0004;0
Engine_100;54;518,67;1,3;47,52;521,69;2388,09;8135,19;8,4083;0,03;392;2388;100;642,56;38,83;23,2969;1588,37;1401,73;14,62;21,61;553,89;2388,08;9057,81;-0,0009;-0,0002;0
Engine_100;55;518,67;1,3;47,17;521,31;2388,04;8143,46;8,4419;0,03;393;2388;100;642,32;38,89;23,3735;1587,76;1404,22;14,62;21,61;554,69;2388,08;9062,75;-0,0044;-0,0002;0
Engine_100;56;518,67;1,3;47,46;521,39;2388,09;8143,36;8,4091;0,03;393;2388;100;642,68;38,95;23,284;1579,42;1403,78;14,62;21,61;554,32;2388,07;9058,01;0,0019;0,0001;0
Engine_100;57;518,67;1,3;47,41;521,65;2388,06;8138,76;8,44;0,03;393;2388;100;642,7;38,83;23,2574;1591,41;1397,21;14,62;21,61;553,79;2388,06;9067,46;-0,0036;-0,0005;0
Engine_100;58;518,67;1,3;47,48;521,39;2388,06;8143,06;8,4515;0,03;393;2388;100;642,81;38,99;23,2474;1583;1403,22;14,62;21,61;553,78;2388,05;9074,49;0,0006;-0,0005;0
Engine_100;59;518,67;1,3;47,38;521,29;2387,99;8140,58;8,4109;0,03;392;2388;100;642,44;38,8;23,3673;1592,61;1406,87;14,62;21,61;554,13;2388,03;9066;0,0007;-0,0001;0
Engine_100;60;518,67;1,3;47,46;521,89;2388,02;8146,78;8,4118;0,03;394;2388;100;643,01;38,89;23,2747;1593,27;1410,68;14,62;21,6;553,32;2388,09;9065,5;-0,0033;0,0004;0
Engine_100;61;518,67;1,3;47,39;521,73;2388,06;8148,14;8,3933;0,03;392;2388;100;642,22;38,86;23,1918;1590,65;1404,25;14,62;21,61;553,08;2388,09;9062,26;0,0005;-0,0005;0
Engine_100;62;518,67;1,3;47,46;521,62;2388,05;8140,58;8,4139;0,03;393;2388;100;642,83;38,9;23,2975;1584,5;1411,47;14,62;21,61;553,36;2388,06;9069,14;-0,0024;-0,0001;0
Engine_100;63;518,67;1,3;47,56;521,54;2388,04;8147,91;8,4332;0,03;393;2388;100;642,28;38,94;23,2606;1583,2;1409;14,62;21,61;553,45;2388,13;9067,22;-0,0035;0;0
Engine_100;64;518,67;1,3;47,21;521,87;2388,02;8139,29;8,4417;0,03;393;2388;100;641,92;38,84;23,3614;1587,59;1409,97;14,62;21,61;553,62;2388,07;9060,04;-0,0011;-0,0004;0
Engine_100;65;518,67;1,3;47,5;522,07;2388,09;8137,73;8,4227;0,03;394;2388;100;642,5;39,09;23,363;1593,72;1410,59;14,62;21,61;553,85;2388,1;9057,44;-0,0002;-0,0001;0
Engine_100;66;518,67;1,3;47,46;522,12;2388,05;8145,86;8,4628;0,03;392;2388;100;642,66;38,85;23,4266;1591,48;1407,63;14,62;21,61;554,37;2388,1;9068,59;-0,0005;-0,0002;0
Engine_100;67;518,67;1,3;47,46;521,32;2388,03;8142,33;8,4598;0,03;394;2388;100;642,95;38,85;23,3233;1582,47;1409,41;14,62;21,61;553,92;2388,05;9058,27;-0,001;0;0
Engine_100;68;518,67;1,3;47,45;521,29;2388,05;8147,27;8,4187;0,03;392;2388;100;642,79;38,96;23,2107;1590,2;1404,67;14,62;21,61;554,16;2388,04;9066,29;-0,0015;0,0004;0
Engine_100;69;518,67;1,3;47,5;521,81;2388,08;8142,69;8,4097;0,03;391;2388;100;642,55;38,74;23,401;1587,13;1415,27;14,62;21,61;553,54;2388,08;9062,93;-0,0013;-0,0005;0
Engine_100;70;518,67;1,3;47,41;521,69;2388,09;8145,55;8,4377;0,03;393;2388;100;642;38,85;23,3086;1586,98;1410,26;14,62;21,61;554,08;2388,04;9065,12;0,0015;-0,0004;0
Engine_100;71;518,67;1,3;47,39;521,74;2388,01;8138,64;8,4235;0,03;392;2388;100;642,38;38,98;23,3037;1583,54;1406,45;14,62;21,61;552,98;2388,08;9064,33;-0,0014;-0,0003;0
Engine_100;72;518,67;1,3;47,49;521,96;2388,05;8142,66;8,4446;0,03;393;2388;100;642,42;38,82;23,3201;1588,02;1410,46;14,62;21,61;554,11;2388,1;9059,96;0,0015;-0,0004;0
Engine_100;73;518,67;1,3;47,52;522,2;2388,07;8141,5;8,4052;0,03;395;2388;100;642,4;38,98;23,2318;1587,35;1408,64;14,62;21,61;554,03;2388,06;9067,13;0,0001;0,0002;0
Engine_100;74;518,67;1,3;47,48;521,59;2388,07;8142,66;8,4239;0,03;392;2388;100;642,19;38,94;23,3564;1586,92;1399,46;14,62;21,61;554,54;2388,06;9060,54;-0,0001;-0,0006;0
Engine_100;75;518,67;1,3;47,35;522,3;2388,06;8142,78;8,4152;0,03;392;2388;100;642,7;38,86;23,3278;1593,66;1407,71;14,62;21,61;553,56;2388,04;9065,47;-0,0018;0,0004;0
Engine_100;76;518,67;1,3;47,47;521,69;2388,07;8144,65;8,4369;0,03;392;2388;100;642,55;38,72;23,3806;1586,38;1412,76;14,62;21,61;554,18;2388,09;9058,75;0,002;-0,0006;0
Engine_100;77;518,67;1,3;47,56;521,8;2388,09;8140,46;8,4007;0,03;394;2388;100;642,68;38,85;23,2574;1586,45;1408,87;14,62;21,61;552,69;2388,06;9061,88;0,0039;0,0001;0
Engine_100;78;518,67;1,3;47,36;521,55;2388,05;8144,34;8,4056;0,03;392;2388;100;642,31;38,94;23,2741;1587,27;1405,75;14,62;21,61;553,91;2388,07;9057,17;0,0001;0,0003;0
Engine_100;79;518,67;1,3;47,6;522,08;2388,05;8140,46;8,4616;0,03;393;2388;100;642,82;38,74;23,3852;1592,63;1399,94;14,62;21,61;554;2388,08;9056,65;-0,0009;-0,0003;0
Engine_100;80;518,67;1,3;47,52;521,69;2388,08;8146,79;8,4675;0,03;396;2388;100;641,8;38,98;23,1682;1590,87;1405,64;14,62;21,61;552,95;2388,1;9058,89;0,0023;-0,0003;0
Engine_100;81;518,67;1,3;47,44;521,64;2388,09;8143,15;8,4029;0,03;393;2388;100;642,91;39,03;23,351;1591,13;1403,38;14,62;21,61;553,47;2388,04;9066,5;0,0011;0,0002;0
Engine_100;82;518,67;1,3;47,55;521,65;2388,06;8141,91;8,4522;0,03;393;2388;100;642,64;38,53;23,2628;1587,28;1404,68;14,62;21,61;553,45;2388,09;9059,24;0,0045;0,0002;0
Engine_100;83;518,67;1,3;47,76;521,66;2388,06;8142,35;8,4351;0,03;394;2388;100;642,23;38,68;23,3406;1593,53;1411,11;14,62;21,61;553,16;2388,07;9063,2;0,0041;0,0001;0
Engine_100;84;518,67;1,3;47,61;521,16;2388,13;8139,42;8,4455;0,03;392;2388;100;642,24;38,99;23,3335;1593,81;1407,46;14,62;21,61;553,88;2388,09;9062,73;-0,0007;-0,0002;0
Engine_100;85;518,67;1,3;47,33;521,77;2388,07;8137,63;8,4489;0,03;394;2388;100;642,26;38,72;23,2257;1592;1412,81;14,62;21,61;553,89;2388,08;9064,63;0,0016;-0,0004;0
Engine_100;86;518,67;1,3;47,62;521,19;2388,14;8150,57;8,4124;0,03;394;2388;100;643,21;38,9;23,3466;1594,06;1406,27;14,62;21,61;554;2388,1;9067,74;-0,0001;-0,0005;0
Engine_100;87;518,67;1,3;47,47;521,71;2388,08;8142,98;8,4472;0,03;393;2388;100;642,26;38,82;23,2879;1590,8;1402,2;14,62;21,61;553,2;2388,13;9064,03;-0,004;-0,0003;0
Engine_100;88;518,67;1,3;47,35;522,09;2388,09;8144,57;8,44;0,03;393;2388;100;642,97;38,83;23,1952;1592,72;1404,73;14,62;21,61;553,62;2388,12;9069,74;-0,0021;-0,0002;0
Engine_100;89;518,67;1,3;47,48;520,71;2388,11;8143,71;8,4265;0,03;394;2388;100;642,54;38,96;23,3632;1591,42;1402,37;14,62;21,61;553,6;2388,09;9059,75;-0,0022;-0,0005;0
Engine_100;90;518,67;1,3;47,53;521,21;2388,11;8141,61;8,4351;0,03;393;2388;100;642,37;39,1;23,3733;1594,18;1410,9;14,62;21,61;553,2;2388,05;9055,89;0,0022;-0,0005;0
Engine_100;91;518,67;1,3;47,47;521,5;2388,08;8144,36;8,4711;0,03;392;2388;100;642,87;38,92;23,3175;1583,41;1406,11;14,62;21,61;553,02;2388,05;9066,52;-0,0015;0,0004;0
Engine_100;92;518,67;1,3;47,47;521,67;2388,09;8141,18;8,4358;0,03;392;2388;100;642,86;38,99;23,3381;1587,74;1405,16;14,62;21,61;553,48;2388,08;9063,38;0,0008;0,0001;0
Engine_100;93;518,67;1,3;47,45;521,68;2388,05;8147,07;8,4364;0,03;394;2388;100;642,63;38,8;23,3228;1591,57;1415,6;14,62;21,61;553,58;2388,02;9064,71;-0,0043;0,0001;0
Engine_100;94;518,67;1,3;47,62;522,08;2388,07;8140,36;8,4;0,03;392;2388;100;642,88;38,94;23,3167;1589,58;1404,38;14,62;21,61;552,61;2388,11;9058,25;-0,0028;-0,0002;0
Engine_100;95;518,67;1,3;47,47;521,8;2388,08;8143,9;8,4224;0,03;393;2388;100;642,64;38,73;23,3069;1588,7;1405,42;14,62;21,61;553,16;2388,05;9065,4;-0,0025;0,0001;0
Engine_100;96;518,67;1,3;47,48;521,21;2388,1;8148,3;8,4191;0,03;394;2388;100;642,92;38,77;23,199;1580,58;1410,85;14,62;21,61;553,22;2388,06;9066,69;0,0003;-0,0005;0
Engine_100;97;518,67;1,3;47,47;521,1;2388,04;8145,78;8,4248;0,03;391;2388;100;642,54;38,84;23,389;1594,51;1405,88;14,62;21,61;553,37;2388,11;9073,86;0,0037;-0,0001;0
Engine_100;98;518,67;1,3;47,64;521,56;2388,09;8144,6;8,4425;0,03;393;2388;100;642,79;38,83;23,2491;1589,34;1404,17;14,62;21,61;553,11;2388,08;9068,4;-0,0024;0,0003;0
Engine_100;99;518,67;1,3;47,48;521,58;2388,06;8140,79;8,4007;0,03;393;2388;100;642,95;38,91;23,3667;1594,81;1405,84;14,62;21,61;553,31;2388,09;9062,18;-0,0004;0;0
Engine_100;100;518,67;1,3;47,68;521,05;2388,05;8141,88;8,4521;0,03;395;2388;100;642,35;38,76;23,2905;1594,59;1404,4;14,62;21,61;552,82;2388,13;9066,9;-0,0013;-0,0002;0
Engine_100;101;518,67;1,3;47,65;521,65;2388,12;8144,1;8,4287;0,03;394;2388;100;642,19;38,83;23,3244;1585,58;1415,4;14,62;21,61;553,87;2388,06;9062,9;-0,003;-0,0004;0
Engine_100;102;518,67;1,3;47,59;521,41;2388,06;8139,92;8,442;0,03;394;2388;100;642,81;38,98;23,1838;1587,36;1401,05;14,62;21,61;553,26;2388,09;9067,09;0,0028;-0,0004;0
Engine_100;103;518,67;1,3;47,59;521,45;2388,13;8141,16;8,4459;0,03;395;2388;100;642,7;38,67;23,1666;1588,14;1405,28;14,62;21,61;552,47;2388,08;9066,73;-0,0014;0,0001;0
Engine_100;104;518,67;1,3;47,38;521,94;2388,09;8148,56;8,4466;0,03;392;2388;100;642,25;38,88;23,2623;1584,94;1405,65;14,62;21,61;553,85;2388,07;9060,21;0,0017;-0,0001;0
Engine_100;105;518,67;1,3;47,39;522,01;2388,08;8145,01;8,4303;0,03;393;2388;100;642,51;38,82;23,3207;1588,76;1407,18;14,62;21,61;553,42;2388,14;9067,65;0,0008;-0,0001;0
Engine_100;106;518,67;1,3;47,44;521,3;2388,08;8137,57;8,4096;0,03;393;2388;100;642,41;38,83;23,2998;1592,35;1406,61;14,62;21,61;553,62;2388,1;9066,56;-0,0033;-0,0005;0
Engine_100;107;518,67;1,3;47,51;521,56;2388,1;8139,24;8,4267;0,03;393;2388;100;642,17;38,96;23,2582;1586,39;1404,62;14,62;21,61;553,13;2388,11;9066,82;-0,0028;0,0002;0
Engine_100;108;518,67;1,3;47,46;521,22;2388,09;8143,72;8,4318;0,03;394;2388;100;642,11;38,73;23,4211;1595,71;1404,27;14,62;21,61;553,35;2388,13;9068,53;-0,0049;-0,0002;0
Engine_100;109;518,67;1,3;47,39;521,83;2388,06;8147,51;8,4285;0,03;394;2388;100;642,23;38,93;23,3845;1594,45;1406,13;14,62;21,61;552,91;2388,09;9064,06;0,0029;0,0001;0
Engine_100;110;518,67;1,3;47,46;520,96;2388,14;8136,26;8,4458;0,03;394;2388;100;643,37;38,52;23,2913;1587,51;1406,25;14,62;21,61;553,23;2388,14;9062,22;0,0006;-0,0004;0
Engine_100;111;518,67;1,3;47,54;521,82;2388,12;8146,75;8,448;0,03;394;2388;100;643,12;38,78;23,323;1585,29;1410,89;14,62;21,61;553,99;2388,08;9065,76;-0,0019;-0,0005;0
Engine_100;112;518,67;1,3;47,56;521,34;2388,08;8140,4;8,4062;0,03;392;2388;100;642,88;38,88;23,2731;1588,53;1399,33;14,62;21,61;553,62;2388,06;9058,52;-0,0029;0,0003;0
Engine_100;113;518,67;1,3;47,52;521,35;2388,08;8150,45;8,4392;0,03;395;2388;100;642,91;38,62;23,252;1585,4;1411,93;14,62;21,61;553,45;2388,09;9061,44;0,0003;-0,0002;0
Engine_100;114;518,67;1,3;47,29;520,96;2388,1;8146,35;8,4242;0,03;394;2388;100;642,77;38,73;23,328;1589,75;1408,96;14,62;21,61;553,7;2388,06;9066,23;-0,0001;-0,0005;0
Engine_100;115;518,67;1,3;47,33;521,31;2388,06;8139,14;8,4303;0,03;393;2388;100;643,23;38,86;23,3282;1593,19;1410,42;14,62;21,61;553,35;2388,09;9067,02;-0,0012;-0,0001;0
Engine_100;116;518,67;1,3;47,56;521,41;2388,07;8145,15;8,4126;0,03;392;2388;100;642,36;39,05;23,3016;1591,22;1407,75;14,62;21,61;553,4;2388,11;9071,17;0,0006;0;0
Engine_100;117;518,67;1,3;47,51;521,74;2388,13;8143,03;8,4345;0,03;394;2388;100;642,77;38,79;23,3007;1590,85;1412;14,62;21,61;552,79;2388,1;9060,4;0,0006;-0,0001;0
Engine_100;118;518,67;1,3;47,52;521,33;2388,09;8139,82;8,459;0,03;393;2388;100;642,21;38,81;23,2483;1586,56;1405,31;14,62;21,61;553,25;2388,09;9067,24;0,0018;-0,0002;0
Engine_100;119;518,67;1,3;47,81;521,1;2388,07;8146,76;8,4512;0,03;394;2388;100;642,57;38,77;23,2437;1588,46;1405,24;14,62;21,61;553,85;2388,13;9066,63;0,002;-0,0003;0
Engine_100;120;518,67;1,3;47,7;520,73;2388,07;8145,3;8,4193;0,03;394;2388;100;642,66;38,78;23,3422;1588,09;1407,57;14,62;21,61;553,76;2388,07;9060,17;0,0004;0,0003;0
Engine_100;121;518,67;1,3;47,67;521,09;2388,11;8148,57;8,4716;0,03;393;2388;100;642,82;38,8;23,2392;1595;1408,18;14,62;21,61;552,88;2388,09;9066,41;0,0001;-0,0003;0
Engine_100;122;518,67;1,3;47,5;521,51;2388,17;8145,34;8,4376;0,03;394;2388;100;642,09;38,94;23,2959;1595,79;1409,35;14,62;21,61;553,2;2388,11;9065,94;-0,0003;0;0
Engine_100;123;518,67;1,3;47,59;521,67;2388,05;8138,76;8,4335;0,03;392;2388;100;643,57;38,81;23,3136;1585,7;1406,45;14,62;21,61;552,96;2388,09;9063,13;-0,0012;-0,0005;0
Engine_100;124;518,67;1,3;47,77;521,18;2388,08;8140,37;8,4668;0,03;392;2388;100;642,83;38,91;23,3014;1593,15;1411,26;14,62;21,61;553,62;2388,1;9067,61;-0,0016;0,0002;0
Engine_100;125;518,67;1,3;47,74;520,96;2388,13;8140,17;8,4664;0,03;394;2388;100;642,91;38,73;23,2742;1585,48;1408,02;14,62;21,61;553,26;2388,11;9071,88;-0,0017;-0,0001;0
Engine_100;126;518,67;1,3;47,62;521,41;2388,14;8145,54;8,4438;0,03;393;2388;100;642,79;38,77;23,2112;1596,77;1411,89;14,62;21,61;552,67;2388,1;9066,84;0,0056;0,0002;0
Engine_100;127;518,67;1,3;47,7;521,08;2388,16;8147,55;8,4465;0,03;394;2388;100;642,65;38,7;23,1842;1589,32;1410,21;14,62;21,61;552,94;2388,13;9066,14;-0,0017;-0,0005;0
Engine_100;128;518,67;1,3;47,6;521,22;2388,15;8144,14;8,4586;0,03;394;2388;100;643,19;38,9;23,2595;1592,88;1415,34;14,62;21,61;552,98;2388,03;9064,52;-0,0021;0;0
Engine_100;129;518,67;1,3;47,59;521,44;2388,17;8141,62;8,4431;0,03;394;2388;100;642,47;38,77;23,3381;1587,63;1410,71;14,62;21,61;552,83;2388,04;9067,77;0,0042;-0,0005;0
